model_id,experiment,state,mean_residual_bets_minus_rsa,n_cells
Qwen--Qwen3.5-0.8B,exps_numerical,0,0.07638889,6
Qwen--Qwen3.5-0.8B,exps_numerical,1,0.07638889,6
Qwen--Qwen3.5-0.8B,exps_numerical,2,0.07638889,6
Qwen--Qwen3.5-0.8B,exps_numerical,3,-0.22916667,6
Qwen--Qwen3.5-0.8B,exps_some,0,0.15,3
Qwen--Qwen3.5-0.8B,exps_some,1,0.15,3
Qwen--Qwen3.5-0.8B,exps_some,2,0.15,3
Qwen--Qwen3.5-0.8B,exps_some,3,-0.45,3
Qwen--Qwen3.5-2B,exps_numerical,0,-0.03538567,6
Qwen--Qwen3.5-2B,exps_numerical,1,0.02326043,6
Qwen--Qwen3.5-2B,exps_numerical,2,0.11987809,6
Qwen--Qwen3.5-2B,exps_numerical,3,-0.10775285,6
Qwen--Qwen3.5-2B,exps_some,0,-0.00105295,3
Qwen--Qwen3.5-2B,exps_some,1,-0.29283458,3
Qwen--Qwen3.5-2B,exps_some,2,0.08469284,3
Qwen--Qwen3.5-2B,exps_some,3,0.20919469,3
Qwen--Qwen3.5-4B,exps_numerical,0,0.0,6
Qwen--Qwen3.5-4B,exps_numerical,1,0.08333333,6
Qwen--Qwen3.5-4B,exps_numerical,2,0.25105276,6
Qwen--Qwen3.5-4B,exps_numerical,3,-0.33438609,6
Qwen--Qwen3.5-4B,exps_some,0,0.0,3
Qwen--Qwen3.5-4B,exps_some,1,0.0,3
Qwen--Qwen3.5-4B,exps_some,2,0.31415882,3
Qwen--Qwen3.5-4B,exps_some,3,-0.31415882,3
Qwen--Qwen3.5-9B,exps_numerical,0,0.0,6
Qwen--Qwen3.5-9B,exps_numerical,1,-0.00418578,6
Qwen--Qwen3.5-9B,exps_numerical,2,0.13854012,6
Qwen--Qwen3.5-9B,exps_numerical,3,-0.13435434,6
Qwen--Qwen3.5-9B,exps_some,0,0.0,3
Qwen--Qwen3.5-9B,exps_some,1,-0.01871238,3
Qwen--Qwen3.5-9B,exps_some,2,0.19409396,3
Qwen--Qwen3.5-9B,exps_some,3,-0.17538158,3
gemini-3.1-flash-lite-preview,exps_numerical,0,-0.03629153,6
gemini-3.1-flash-lite-preview,exps_numerical,1,0.05853138,6
gemini-3.1-flash-lite-preview,exps_numerical,2,0.12093499,6
gemini-3.1-flash-lite-preview,exps_numerical,3,-0.14317485,6
gemini-3.1-flash-lite-preview,exps_some,0,-0.00100115,3
gemini-3.1-flash-lite-preview,exps_some,1,0.10584644,3
gemini-3.1-flash-lite-preview,exps_some,2,0.12357488,3
gemini-3.1-flash-lite-preview,exps_some,3,-0.22842017,3
google--gemma-3-4b-it,exps_numerical,0,0.01544599,6
google--gemma-3-4b-it,exps_numerical,1,0.03093208,6
google--gemma-3-4b-it,exps_numerical,2,0.00867527,6
google--gemma-3-4b-it,exps_numerical,3,-0.05505333,6
google--gemma-3-4b-it,exps_some,0,0.08782393,3
google--gemma-3-4b-it,exps_some,1,0.05137072,3
google--gemma-3-4b-it,exps_some,2,-0.11650998,3
google--gemma-3-4b-it,exps_some,3,-0.02268467,3
gpt-5.4-mini,exps_numerical,0,0.00439457,6
gpt-5.4-mini,exps_numerical,1,0.05696055,6
gpt-5.4-mini,exps_numerical,2,0.12498853,6
gpt-5.4-mini,exps_numerical,3,-0.18634365,6
gpt-5.4-mini,exps_some,0,0.02684072,3
gpt-5.4-mini,exps_some,1,0.0611437,3
gpt-5.4-mini,exps_some,2,0.20047062,3
gpt-5.4-mini,exps_some,3,-0.28845503,3
gpt-5.4-nano,exps_numerical,0,-0.02323301,6
gpt-5.4-nano,exps_numerical,1,-0.04892638,6
gpt-5.4-nano,exps_numerical,2,0.20211312,6
gpt-5.4-nano,exps_numerical,3,-0.12995373,6
gpt-5.4-nano,exps_some,0,-0.00185757,3
gpt-5.4-nano,exps_some,1,0.05385951,3
gpt-5.4-nano,exps_some,2,0.08377713,3
gpt-5.4-nano,exps_some,3,-0.13577907,3
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,0,0.0,6
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,1,0.0,6
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,2,0.11388889,6
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,3,-0.11388889,6
meta-llama--Llama-3.1-8B-Instruct,exps_some,0,0.0,3
meta-llama--Llama-3.1-8B-Instruct,exps_some,1,0.0,3
meta-llama--Llama-3.1-8B-Instruct,exps_some,2,0.02777778,3
meta-llama--Llama-3.1-8B-Instruct,exps_some,3,-0.02777778,3
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,0,0.01229426,6
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,1,0.01121035,6
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,2,-0.02507726,6
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,3,0.00157265,6
meta-llama--Llama-3.2-1B-Instruct,exps_some,0,0.2885912,3
meta-llama--Llama-3.2-1B-Instruct,exps_some,1,-0.17151247,3
meta-llama--Llama-3.2-1B-Instruct,exps_some,2,-0.11632521,3
meta-llama--Llama-3.2-1B-Instruct,exps_some,3,-0.00075352,3
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,0,0.0,6
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,1,0.18888889,6
