model_id,experiment,n_ok,n_at_alpha_min,n_at_alpha_max,rate_at_alpha_min,rate_at_alpha_max,mean_objective_kl_obs_to_rsa,median_objective_kl_obs_to_rsa,mean_alpha_hat,median_alpha_hat
Qwen--Qwen3.5-0.8B,exps_numerical,6,6,0,1.0,0.0,5.60958254,6.07076706,0.1,0.1
Qwen--Qwen3.5-0.8B,exps_some,3,3,0,1.0,0.0,11.29675264,12.57305723,0.1,0.1
Qwen--Qwen3.5-2B,exps_numerical,6,3,0,0.5,0.0,0.53593631,0.37335388,0.766667,0.75
Qwen--Qwen3.5-2B,exps_some,3,1,0,0.333333,0.0,0.41727863,0.55364911,0.833333,0.2
Qwen--Qwen3.5-4B,exps_numerical,6,3,0,0.5,0.0,2.79881411,0.14327224,0.75,0.7
Qwen--Qwen3.5-4B,exps_some,3,0,2,0.0,0.666667,0.31069931,0.32633371,5.8,8.0
Qwen--Qwen3.5-9B,exps_numerical,6,2,0,0.333333,0.0,0.54882167,0.12062456,0.766667,0.75
Qwen--Qwen3.5-9B,exps_some,3,1,1,0.333333,0.333333,0.20103661,0.12717648,5.3,7.8
gemini-3.1-flash-lite-preview,exps_numerical,6,2,0,0.333333,0.0,0.21657578,0.09679181,0.583333,0.2
gemini-3.1-flash-lite-preview,exps_some,3,1,1,0.333333,0.333333,0.17244624,0.06438008,3.133333,1.3
google--gemma-3-4b-it,exps_numerical,6,6,0,1.0,0.0,0.47553579,0.51684733,0.1,0.1
google--gemma-3-4b-it,exps_some,3,3,0,1.0,0.0,0.16554516,0.15162355,0.1,0.1
gpt-5.4-mini,exps_numerical,6,5,0,0.833333,0.0,0.26651934,0.07831971,0.333333,0.1
gpt-5.4-mini,exps_some,3,3,0,1.0,0.0,0.26450553,0.30756872,0.1,0.1
gpt-5.4-nano,exps_numerical,6,4,0,0.666667,0.0,0.26300479,0.11570781,0.35,0.1
gpt-5.4-nano,exps_some,3,2,1,0.666667,0.333333,0.13383097,0.06896636,2.733333,0.1
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,6,6,0,1.0,0.0,2.93535201,0.0,0.1,0.1
meta-llama--Llama-3.1-8B-Instruct,exps_some,3,3,0,1.0,0.0,0.67191637,0.0,0.1,0.1
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,6,6,0,1.0,0.0,0.38031349,0.40398903,0.1,0.1
meta-llama--Llama-3.2-1B-Instruct,exps_some,3,3,0,1.0,0.0,0.38580587,0.37207534,0.1,0.1
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,6,6,0,1.0,0.0,10.47719156,10.47530864,0.1,0.1
meta-llama--Llama-3.2-3B-Instruct,exps_some,3,3,0,1.0,0.0,6.76152038,3.82848697,0.1,0.1
microsoft--Phi-4-mini-instruct,exps_numerical,6,6,0,1.0,0.0,0.51497044,0.24667646,0.1,0.1
microsoft--Phi-4-mini-instruct,exps_some,3,3,0,1.0,0.0,0.08292917,0.09480374,0.1,0.1
