model_id,experiment,n_cells,mean_l2_residual,median_l2_residual
Qwen--Qwen3.5-0.8B,exps_numerical,6,0.26461887,0.28867513
Qwen--Qwen3.5-0.8B,exps_some,3,0.51961524,0.57735027
Qwen--Qwen3.5-2B,exps_numerical,6,0.40570724,0.35426426
Qwen--Qwen3.5-2B,exps_some,3,0.40028115,0.50558645
Qwen--Qwen3.5-4B,exps_numerical,6,0.45739794,0.27242173
Qwen--Qwen3.5-4B,exps_some,3,0.44428766,0.47161514
Qwen--Qwen3.5-9B,exps_numerical,6,0.33402742,0.19873706
Qwen--Qwen3.5-9B,exps_some,3,0.32397715,0.27990223
gemini-3.1-flash-lite-preview,exps_numerical,6,0.24661784,0.12085251
gemini-3.1-flash-lite-preview,exps_some,3,0.2886637,0.22387662
google--gemma-3-4b-it,exps_numerical,6,0.40714046,0.43533029
google--gemma-3-4b-it,exps_some,3,0.18178671,0.18597333
gpt-5.4-mini,exps_numerical,6,0.29238898,0.17488457
gpt-5.4-mini,exps_some,3,0.35836031,0.42718695
gpt-5.4-nano,exps_numerical,6,0.33390505,0.27861447
gpt-5.4-nano,exps_some,3,0.27129341,0.22567957
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,6,0.16106321,0.0
meta-llama--Llama-3.1-8B-Instruct,exps_some,3,0.03928371,0.0
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,6,0.33355493,0.34311765
meta-llama--Llama-3.2-1B-Instruct,exps_some,3,0.35677537,0.35946334
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,6,0.51893274,0.53766578
meta-llama--Llama-3.2-3B-Instruct,exps_some,3,0.33205323,0.19400745
microsoft--Phi-4-mini-instruct,exps_numerical,6,0.37623381,0.30974162
microsoft--Phi-4-mini-instruct,exps_some,3,0.13410903,0.13938937
