model_id,experiment,access,utterance,alpha_hat,res_0,res_1,res_2,res_3,l2_residual
Qwen--Qwen3.5-0.8B,exps_numerical,1,1,0.1,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.25,0.2886751346
Qwen--Qwen3.5-0.8B,exps_numerical,2,1,0.1,0.125,0.125,0.125,-0.375,0.4330127019
Qwen--Qwen3.5-0.8B,exps_numerical,2,2,0.1,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.25,0.2886751346
Qwen--Qwen3.5-0.8B,exps_numerical,3,1,0.1,0.125,0.125,0.125,-0.375,0.4330127019
Qwen--Qwen3.5-0.8B,exps_numerical,3,2,0.1,0.041666666666666664,0.041666666666666664,0.041666666666666664,-0.125,0.1443375673
Qwen--Qwen3.5-0.8B,exps_numerical,3,3,0.1,0.0,0.0,0.0,0.0,0.0
Qwen--Qwen3.5-0.8B,exps_some,1,some,0.1,0.2,0.2,0.2,-0.6,0.692820323
Qwen--Qwen3.5-0.8B,exps_some,2,some,0.1,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.5,0.5773502692
Qwen--Qwen3.5-0.8B,exps_some,3,some,0.1,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.25,0.2886751346
Qwen--Qwen3.5-2B,exps_numerical,1,1,1.5,-0.011363636363636364,0.6079545454545454,-0.05113636363636363,-0.5454545454545454,0.8184579711
Qwen--Qwen3.5-2B,exps_numerical,2,1,0.1,-0.02744727234557438,-0.25361188067150364,-0.02012863916274603,0.30118779217982405,0.3952108134
Qwen--Qwen3.5-2B,exps_numerical,2,2,0.1,-0.02095304671657061,-0.04198113208401199,0.6226516899930765,-0.5597175111924939,0.8385584446
Qwen--Qwen3.5-2B,exps_numerical,3,1,1.4,-0.02816901408450704,0.028169014084507116,-2.0090195397394478e-18,-2.1429541757220777e-17,0.0398370018
Qwen--Qwen3.5-2B,exps_numerical,3,2,0.1,-0.10397287143945917,-0.2009679951613962,0.16788184537613143,0.13705902122472413,0.313317702
Qwen--Qwen3.5-2B,exps_numerical,3,3,1.4,-0.02040816326530612,-1.1158941865287478e-17,-1.455514156341845e-18,0.020408163265306034,0.0288615013
Qwen--Qwen3.5-2B,exps_some,1,some,2.2,-3.8205346250213224e-28,-0.0006814327462642544,0.018421359602555087,-0.01773992685629089,0.0255835073
Qwen--Qwen3.5-2B,exps_some,2,some,0.2,-0.0002641526025791651,-0.41022892298534136,0.24447368030405509,0.16601939528386533,0.5055864506
Qwen--Qwen3.5-2B,exps_some,3,some,0.1,-0.002894686327071197,-0.4675933952198215,-0.00881652981128106,0.47930461135817376,0.6696735056
Qwen--Qwen3.5-4B,exps_numerical,1,1,1.4,0.0,0.0,0.25,-0.25,0.3535533906
Qwen--Qwen3.5-4B,exps_numerical,2,1,0.1,0.0,0.0,0.13526250082442487,-0.13526250082442476,0.1912900631
Qwen--Qwen3.5-4B,exps_numerical,2,2,0.1,0.0,0.0,0.9543873802011898,-0.95438738020119,1.3497075768
Qwen--Qwen3.5-4B,exps_numerical,3,1,0.1,0.0,0.5,0.16666666666666669,-0.6666666666666666,0.8498365856
Qwen--Qwen3.5-4B,exps_numerical,3,2,1.5,0.0,0.0,0.0,-1.1000000000000015e-17,0.0
Qwen--Qwen3.5-4B,exps_numerical,3,3,1.3,0.0,0.0,-2.2835331195541632e-17,0.0,0.0
Qwen--Qwen3.5-4B,exps_some,1,some,8.0,0.0,0.0,0.333482263742215,-0.333482263742215,0.4716151402
Qwen--Qwen3.5-4B,exps_some,2,some,8.0,0.0,0.0,0.346173684704117,-0.34617368470411713,0.4895635198
Qwen--Qwen3.5-4B,exps_some,3,some,1.4,0.0,0.0,0.26282051282051283,-0.2628205128205128,0.3716843337
Qwen--Qwen3.5-9B,exps_numerical,1,1,1.5,0.0,0.23333333333333334,-0.05,-0.18333333333333335,0.3009245014
Qwen--Qwen3.5-9B,exps_numerical,2,1,0.1,0.0,-0.11413818914943616,-0.01687556543319757,0.13101375458263365,0.1745763868
Qwen--Qwen3.5-9B,exps_numerical,2,2,0.1,0.0,-0.0011833183785396261,0.9239070347655972,-0.9227237163870575,1.3057659308
Qwen--Qwen3.5-9B,exps_numerical,3,1,0.2,0.0,-0.1431264985483255,-0.0257907572589841,0.16891725580730965,0.2228977278
Qwen--Qwen3.5-9B,exps_numerical,3,2,1.4,0.0,-1.9811164905764e-18,0.0,-1.0103694101939639e-16,0.0
Qwen--Qwen3.5-9B,exps_numerical,3,3,1.3,0.0,-4.925267512763881e-18,-3.940214010211105e-17,0.0,0.0
Qwen--Qwen3.5-9B,exps_some,1,some,8.0,0.0,-0.00013140624663799804,0.19798643621136067,-0.1978550299647227,0.2799022313
Qwen--Qwen3.5-9B,exps_some,2,some,7.8,0.0,-0.02886103464816366,0.4347863969020206,-0.40592536225385706,0.5955229382
